"","country","city","date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30"
"1316","belgium","antwerp","2020-05-27",30518327,"Brederode",51.20703,4.39727,"Apartment","Entire home/apt",4,1,4,284,3,1125,29
"1317","belgium","antwerp","2020-05-27",30520572,"Universiteitsbuurt",51.22069,4.40955,"Apartment","Entire home/apt",4,2,2,120,2,1125,30
"1318","belgium","antwerp","2020-05-27",30525168,"Brederode",51.20637,4.39769,"Apartment","Entire home/apt",4,1,4,284,3,1125,29
"1319","belgium","antwerp","2020-05-27",30525376,"Zuid",51.20944,4.40122,"Apartment","Entire home/apt",4,1,4,284,3,1125,29
"1320","belgium","antwerp","2020-05-27",30527484,"Zuid",51.21208,4.39227,"Apartment","Entire home/apt",4,1,2,75,2,1125,0
"1321","belgium","antwerp","2020-05-27",30529712,"Brederode",51.203,4.39357,"House","Entire home/apt",4,2,2,95,2,42,27
"1322","belgium","antwerp","2020-05-27",30545435,"Zuid",51.20781,4.39737,"Apartment","Entire home/apt",4,1,4,284,3,1125,29
"1323","belgium","antwerp","2020-05-27",30545551,"Zuid",51.21061,4.40088,"Apartment","Entire home/apt",4,1,4,284,3,1125,29
"1324","belgium","antwerp","2020-05-27",30545673,"Brederode",51.20848,4.40212,"Apartment","Entire home/apt",4,1,4,284,3,1125,29
"1325","belgium","antwerp","2020-05-27",30545816,"Theaterbuurt-Meir",51.20931,4.40249,"Apartment","Entire home/apt",4,1,4,284,3,1125,29
"1326","belgium","antwerp","2020-05-27",30545938,"Brederode",51.20628,4.39723,"Apartment","Entire home/apt",4,1,4,284,3,1125,29
"1327","belgium","antwerp","2020-05-27",30546058,"Brederode",51.20688,4.39858,"Apartment","Entire home/apt",4,1,4,284,3,1125,29
"1328","belgium","antwerp","2020-05-27",30548423,"Harmonie",51.19942,4.4118,"Apartment","Entire home/apt",4,2,4,300,3,1125,29
"1329","belgium","antwerp","2020-05-27",30548604,"Markgrave",51.19663,4.4048,"Apartment","Entire home/apt",4,2,4,300,3,1125,29
"1330","belgium","antwerp","2020-05-27",30574782,"Universiteitsbuurt",51.22054,4.41548,"Apartment","Entire home/apt",3,1,3,284,3,1125,29
"1331","belgium","antwerp","2020-05-27",30578818,"Amandus - Atheneum",51.22071,4.41795,"Apartment","Entire home/apt",3,1,3,284,3,1125,29
"1332","belgium","antwerp","2020-05-27",30579571,"Universiteitsbuurt",51.21977,4.41026,"Apartment","Entire home/apt",3,1,3,284,3,1125,29
"1333","belgium","antwerp","2020-05-27",30669652,"Centraal Station",51.21182,4.41741,"Apartment","Entire home/apt",4,2,2,95,2,1125,28
"1334","belgium","antwerp","2020-05-27",30688137,"Historisch Centrum",51.22073,4.4042,"Apartment","Entire home/apt",6,2,2,110,2,60,30
"1335","belgium","antwerp","2020-05-27",30699524,"Sint-Andries",51.21481,4.39305,"Apartment","Entire home/apt",4,2,2,65,3,30,0
"1336","belgium","antwerp","2020-05-27",30700522,"Brederode",51.20364,4.4004,"Apartment","Entire home/apt",3,1,1,95,2,1125,0
"1337","belgium","antwerp","2020-05-27",30701150,"Borgerhout Intra Muros Noord",51.2197,4.43852,"Apartment","Entire home/apt",2,1,2,70,2,1125,0
"1338","belgium","antwerp","2020-05-27",30703222,"Universiteitsbuurt",51.22129,4.41238,"Apartment","Private room",2,1,1,45,2,30,27
"1339","belgium","antwerp","2020-05-27",30711848,"Zuid",51.2055,4.3895,"Loft","Entire home/apt",2,1,3,70,1,1125,25
"1340","belgium","antwerp","2020-05-27",30725072,"Zuid",51.206,4.39145,"Apartment","Private room",3,1,1,70,7,1125,30
"1341","belgium","antwerp","2020-05-27",30758107,"Sint-Andries",51.21728,4.3991,"Apartment","Entire home/apt",2,1,1,120,1,1125,0
"1342","belgium","antwerp","2020-05-27",30759358,"Sint-Andries",51.21732,4.39908,"Apartment","Entire home/apt",3,1,1,120,1,1125,30
"1343","belgium","antwerp","2020-05-27",30761621,"Sint-Andries",51.2169,4.40057,"Apartment","Entire home/apt",4,3,3,150,1,1125,25
"1344","belgium","antwerp","2020-05-27",30765675,"Deurne Dorp - Gallifort",51.222,4.45939,"Apartment","Entire home/apt",4,2,2,90,1,1125,0
"1345","belgium","antwerp","2020-05-27",30945259,"Historisch Centrum",51.21847,4.40036,"House","Private room",2,0,1,100,1,1125,27
"1346","belgium","antwerp","2020-05-27",30949150,"Zuid",51.20992,4.38832,"Apartment","Entire home/apt",4,2,2,98,2,1125,30
"1347","belgium","antwerp","2020-05-27",30957530,"Universiteitsbuurt",51.22192,4.40653,"Boutique hotel","Private room",2,0,1,40,1,1125,0
"1348","belgium","antwerp","2020-05-27",30958065,"Borgerhout Extra Muros",51.19692,4.45199,"Apartment","Entire home/apt",2,1,1,55,3,160,28
"1349","belgium","antwerp","2020-05-27",30966880,"Amandus - Atheneum",51.22409,4.41945,"Apartment","Entire home/apt",4,0,4,84,1,1125,28
"1350","belgium","antwerp","2020-05-27",30975341,"Historisch Centrum",51.22129,4.39748,"Apartment","Entire home/apt",4,2,4,99,10,1125,29
"1351","belgium","antwerp","2020-05-27",30976395,"Historisch Centrum",51.21956,4.39827,"Loft","Entire home/apt",4,1,4,89,14,1125,29
"1352","belgium","antwerp","2020-05-27",30976426,"Oud - Berchem",51.19509,4.41248,"Apartment","Entire home/apt",4,1,2,110,2,365,18
"1353","belgium","antwerp","2020-05-27",31018946,"Eilandje",51.2297,4.41037,"Apartment","Private room",4,2,3,125,1,1125,22
"1354","belgium","antwerp","2020-05-27",31019383,"Historisch Centrum",51.2216,4.40092,"Apartment","Entire home/apt",2,1,1,50,1,1125,18
